location,age_group_id,mean
DZA,10,0.396
DZA,11,0.452
DZA,12,0.49
DZA,13,0.542
DZA,14,0.571
DZA,15,0.603
DZA,16,0.574
DZA,17,0.578
DZA,18,0.568
DZA,19,0.558
DZA,20,0.522
DZA,21,0.456
ECU,34,0.162
ECU,36,0.215
ECU,6,0.175
ECU,7,0.279
ECU,8,0.239
ECU,9,0.324
ECU,38,0.553
ECU,10,0.43
ECU,11,0.504
ECU,12,0.565
ECU,13,0.609
ECU,14,0.616
ECU,15,0.647
ECU,16,0.664
ECU,17,0.669
ECU,18,0.656
ECU,19,0.647
ECU,20,0.622
ECU,21,0.574
EGY,34,0.302
EGY,36,0.354
EGY,6,0.317
EGY,7,0.429
EGY,8,0.362
EGY,9,0.524
EGY,38,0.753
EGY,10,0.64
EGY,11,0.727
EGY,12,0.775
EGY,13,0.822
EGY,14,0.841
EGY,15,0.871
EGY,16,0.848
EGY,17,0.837
EGY,18,0.828
EGY,19,0.829
EGY,20,0.778
EGY,21,0.67
ERI,34,0.053
ERI,36,0.051
ERI,6,0.055
ERI,7,0.058
ERI,8,0.04
ERI,9,0.065
ERI,38,0.146
ERI,10,0.095
ERI,11,0.116
ERI,12,0.162
ERI,13,0.178
ERI,14,0.143
ERI,15,0.163
ERI,16,0.189
ERI,17,0.199
ERI,18,0.201
ERI,19,0.201
ERI,20,0.186
ERI,21,0.155
ESP,34,0.252
ESP,36,0.257
ESP,6,0.299
ESP,7,0.295
ESP,8,0.178
ESP,9,0.292
ESP,38,0.544
ESP,10,0.387
ESP,11,0.451
ESP,12,0.512
ESP,13,0.568
ESP,14,0.61
ESP,15,0.647
ESP,16,0.689
ESP,17,0.714
ESP,18,0.722
ESP,19,0.725
ESP,20,0.704
ESP,21,0.645
EST,34,0.245
EST,36,0.227
EST,6,0.233
EST,7,0.245
EST,8,0.188
EST,9,0.296
EST,38,0.57
EST,10,0.397
EST,11,0.469
EST,12,0.535
EST,13,0.608
EST,14,0.651
EST,15,0.696
EST,16,0.733
EST,17,0.752
EST,18,0.743
EST,19,0.747
EST,20,0.739
EST,21,0.667
ETH,34,0.067
ETH,36,0.055
ETH,6,0.076
ETH,7,0.054
ETH,8,0.022
ETH,9,0.031
ETH,38,0.061
ETH,10,0.039
ETH,11,0.064
ETH,12,0.059
ETH,13,0.069
ETH,14,0.062
ETH,15,0.07
ETH,16,0.077
ETH,17,0.081
ETH,18,0.081
ETH,19,0.08
ETH,20,0.07
ETH,21,0.055
FIN,34,0.248
FIN,36,0.236
FIN,6,0.242
FIN,7,0.26
FIN,8,0.194
FIN,9,0.336
FIN,38,0.564
FIN,10,0.44
FIN,11,0.494
FIN,12,0.546
FIN,13,0.576
FIN,14,0.609
FIN,15,0.659
FIN,16,0.697
FIN,17,0.709
FIN,18,0.723
FIN,19,0.731
FIN,20,0.696
FIN,21,0.598
FJI,34,0.171
FJI,36,0.187
FJI,6,0.187
FJI,7,0.2
FJI,8,0.187
FJI,9,0.284
FJI,38,0.512
FJI,10,0.387
FJI,11,0.461
FJI,12,0.512
FJI,13,0.562
FJI,14,0.584
FJI,15,0.62
FJI,16,0.631
FJI,17,0.639
FJI,18,0.618
FJI,19,0.602
FJI,20,0.573
FJI,21,0.52
FRA,34,0.171
FRA,36,0.18
FRA,6,0.16
FRA,7,0.221
FRA,8,0.167
FRA,9,0.276
FRA,38,0.492
FRA,10,0.355
FRA,11,0.422
FRA,12,0.458
FRA,13,0.509
FRA,14,0.549
FRA,15,0.578
FRA,16,0.622
FRA,17,0.63
FRA,18,0.648
FRA,19,0.657
FRA,20,0.633
FRA,21,0.57
FSM,34,0.453
FSM,36,0.45
FSM,6,0.458
FSM,7,0.483
FSM,8,0.406
FSM,9,0.54
FSM,38,0.749
FSM,10,0.644
FSM,11,0.735
FSM,12,0.757
FSM,13,0.837
FSM,14,0.831
FSM,15,0.862
FSM,16,0.815
FSM,17,0.815
FSM,18,0.802
FSM,19,0.79
FSM,20,0.765
FSM,21,0.72
G,34,0.142
G,36,0.143
G,6,0.149
G,7,0.159
G,8,0.123
G,9,0.198
G,38,0.375
G,10,0.27
G,11,0.329
G,12,0.373
G,13,0.404
G,14,0.432
G,15,0.46
G,16,0.464
G,17,0.474
G,18,0.459
G,19,0.467
G,20,0.438
G,21,0.422
GAB,34,0.156
GAB,36,0.167
GAB,6,0.163
GAB,7,0.194
GAB,8,0.152
GAB,9,0.259
GAB,38,0.51
GAB,10,0.385
GAB,11,0.46
GAB,12,0.535
GAB,13,0.573
GAB,14,0.596
GAB,15,0.643
GAB,16,0.607
GAB,17,0.616
GAB,18,0.601
GAB,19,0.592
GAB,20,0.566
GAB,21,0.509
GBR,34,0.229
GBR,36,0.276
GBR,6,0.339
